species,SID01.BA.VG.2,SID01.BA.V_metag,SID02.BA.V_metag,SID02.BA.VG_metag,SID03.BA.O_metag,SID04.BA.VG.2,SID04.BA.O_metag,SID04.BO.VG.2,SID04.TO.VG,SID05.PR.VG.1,SID06.BA.VG_metag,SID06.PR.VG_metag,SID06.TO.VG,SID07.BA.VG.2,SID07.PR.V.2,SID08.BA.V_metag,SID08.BA.VG_metag,SID08.TO.VG,SID09.PR.V_metag,SID09.TO.O.new,SID10.BO.V,SID10.TO.V.1,SID11.BA.V_metag,SID11.TO.V.2,SID12.PR.V.2,SID12.TO.O.new,SID13.PR.VG.0,SID14.PR.VG.0,SID16.PR.VG.1,SID17.PR.V_metag,SID18.PR.V_metag,SID19.BA.V.2,SID19.TO.V,SID20.TO.O.0,SID21.TO.V.new,SID22.TO.O.new,SID23.BA.V.2,SID26.BA.V.2,SID26.PR.V_metag,SID29.PR.O.2,SID30.BO.O.2,SID31.PR.O.0,SID32.PR.V.1,SID33.PR.V_metag,SID37.PR.O.new,SID38.BA.O.2,SID38.PR.O.1,SID38.TO.VG,SID39.TO.VG,SID42.TO.VG.2,SID44.TO.V,SID45.BO.V.new,SIDVOV03_metag,SIDVOV08_metag,SIDVOV104_metag,SIDVOV108_metag,SIDVOV109_metag,SIDVOV112_metag,SIDVOV113_metag,SIDVOV114_metag,SIDVOV16_metag,SIDVOV20_metag,SIDVOV24_metag,SIDVOV25_metag,SIDVOV26_metag,SIDVOV28_metag,SIDVOV29_metag,SIDVOV32_metag,SIDVOV34_metag,SIDVOV35_metag,SIDVOV36_metag,SIDVOV38_metag,SIDVOV39_metag,SIDVOV46_metag,SIDVOV48_metag,SIDVOV49_metag,SIDVOV52_metag,SIDVOV53_metag,SIDVOV54_metag,SIDVOV56_metag,SIDVOV58_metag,SIDVOV59_metag,SIDVOV60_metag,SIDVOV66_metag,SIDVOV70_metag,SIDVOV72_metag,SIDVOV75_metag,SIDVOV76_metag,SIDVOV77_metag,SIDVOV78_metag,SIDVOV79_metag,SIDVOV81_metag,SIDVOV82_metag,SIDVOV96_metag,SIDVOV97_metag,SIDVOV98_metag,SIDVOV99_metag
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis,,,,,,,,,,,,,,,,,,,,,,0.84752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,0.08816,2.79605,1.15398,0.3734,0.91822,0.2679,0.09959,0.02121,0.4409,0.00096,2.42983,0.00961,,0.61678,0.01237,0.1549,31.26665,0.13674,0.00239,0.02799,0.00153,1.06366,0.11276,0.95541,,0.05197,0.06745,0.00601,,0.02427,0.10394,0.05698,0.37807,0.10569,,0.08866,0.05748,0.18267,0.0061,0.00229,0.01078,0.16797,0.06318,0.12012,0.04797,0.36232,0.02258,0.07931,0.31275,0.01889,0.00802,0.00081,0.03941,0.01194,0.00924,0.01452,0.01342,,,,0.01075,,,,,0.05548,0.00781,,,0.03287,,0.02513,0.00397,,0.03844,,0.01041,0.00202,0.00059,,0.00041,0.01317,,,,0.00574,,0.05288,,,0.04199,0.02508,,0.69893,0.06681,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium,0.00227,,0.0046,0.00499,0.0578,0.54555,0.00407,,,,0.01092,0.00768,,,,0.00163,16.87185,,,,,0.03483,,,,,0.02694,0.1029,,,,0.02765,,,,,,,,,,,,0.00332,,0.05074,,,,0.02718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar,,0.01202,,,,,,,,,,,,,,,0.00518,0.00413,,,,0.00202,,0.06415,0.00599,,0.00329,,,,0.00486,0.00348,,0.02729,,,0.01168,,,,,,0.01119,0.03322,,0.00791,,0.01753,0.00441,,,0.0083,,0.00625,,,,,,,,,,,,,,,,,0.01993,,,0.02207,,,,,,,,0.0036,,,,,,0.01032,,,,0.01499,,0.01966,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181,,,0.00712,,,,,,,,,,,0.00113,,,,0.00077,,,,,,,,0.08218,,,,,,,0.00326,,,,,,,,,,,,,0.00732,,,,,,,,0.00928,,,,,,,,,0.00427,,,0.00512,0.02838,0.01125,,,,,,,,0.00199,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_paraputrificum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00212,,,0.00896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae,,,,,,0.00275,,,,,,,,,,,,0.0274,,,,,,,,,,,,,0.08196,,,,,,,,,,,,,,,,,,,,,0.05425,,,,,,,,,,,,,,0.15598,,,0.00901,,,0.00498,,,,,,,,,,,,,,,,,,,,,,,,0.47386,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola,,,,,,0.0137,,,,,,,,,,,,0.07744,,,,,,,,,,,,,0.78243,,,0.00533,,,,0.00578,,,,,,,,,,,,,0.00728,0.06585,,,,,,,,,,,,,0.01059,1.1008,,,0.09182,,,0.17763,,,0.01079,,,,,,,,,,,,,,,,,,,,,0.82226,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens,,,,,,0.0229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,0.00808,0.13815,0.32162,0.11076,0.0907,0.01672,0.0095,,0.01156,,0.34288,0.02119,,0.13218,0.00222,0.02678,0.08937,0.15826,0.00372,0.0004,,0.01607,0.01206,0.19241,0.0015,0.05739,0.00991,,,0.00648,0.0497,0.00617,0.02852,0.00416,,0.02451,0.00934,0.06244,,0.00696,,0.02875,0.07922,0.01041,,0.82061,,0.10531,0.13151,,,,,0.00266,0.00082,,,,,,,,,,,0.05424,,,,0.00943,,,,,0.02291,,0.00061,,,,,0.00151,,,,0.01383,,0.00619,,,0.00158,,,0.16451,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium,,0.01933,,0.00093,,,,,0.00191,,,,,,,,0.01321,,,,,0.00237,,0.0182,0.00314,,0.00579,,,,0.00038,0.00639,,,,,0.00859,,,,,,0.00474,0.00648,,0.01086,,0.01453,,,,,,,,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00595,,,,0.00961,,0.01366,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis,,,0.11036,0.01496,0.01199,,0.00428,,,,0.00387,,,,,0.0048,4.77287,,,,,,,,,,0.00549,,,,,,,,,,,0.02913,,,,,,0.00363,,,,,0.01819,,,,,,,,,,,,,,,,,0.00298,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0519,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae_complex,,0.0112,,,0.14826,0.00947,,,,,,,,,,,,0.22315,,,,,,0.04233,,,,,,,,,,,0.00842,,0.00143,,0.02762,,0.00823,,,,,0.0185,,,,,,2.5287,,,,,,,,,0.02675,1.65994,,,0.21695,,,,,,,0.02468,,,0.00643,0.6887,,,,,0.00809,0.75424,,0.02339,,,,,,,,,,,,0.0831,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum,,,,,,,0.75576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum,0.00309,0.00331,0.00175,0.01147,0.03022,0.00483,0.02197,0.00792,0.01672,0.00638,,,0.00056,0.00501,,0.03074,,0.0405,,0.00715,0.00231,,0.00931,,0.00111,0.01658,0.01241,0.0018,0.00617,0.02024,0.012,0.01097,,0.06333,0.00491,0.0003,,,,0.009,0.03104,0.01337,0.9685,0.01923,,0.27688,0.32613,,0.00191,0.00512,0.01103,0.03408,0.00979,0.00434,,0.03254,0.00109,0.00431,0.0055,0.02194,,,0.00643,,0.01124,0.02146,0.01012,0.00777,,,0.03701,,,,0.00327,0.01773,0.00186,0.0212,,,0.00078,0.06466,,,0.00483,0.00364,0.00105,,,0.02638,0.00078,,,0.0036,,0.0018,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella_ornithinolytica,,,,,,0.00372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05085,,,,,,,,,0.04666,0.01326,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,0.00096,,0.05102,,0.00683,0.00191,,,,0.01508,0.003,,,0.008,,0.0025,0.06469,0.00214,0.02142,0.00284,,0.00743,0.00671,0.00608,,,,,,,,,,0.01252,,,,0.00278,0.00126,,0.02199,,,0.00101,,0.13494,0.01259,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00731,,,,,,,,,,,,,,,,,,,0.0637,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,0.00037,0.00402,0.04885,,,0.00711,,,,,0.07534,,,0.05205,,,,0.1127,,,0.14098,,,0.01215,,,,,,,0.00014,,0.01872,,,,0.00359,0.00147,,,,,,0.00029,,,,0.03833,0.30656,,,0.14007,0.00219,0.00504,,,0.00644,,,,,,,,,0.00216,,0.01155,0.04542,0.00857,,0.01888,,0.00075,0.00722,,,,,,,,,,,0.00975,,0.05138,,,,0.35355,,0.28816,0.00874,0.00054,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_avium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_paragasseri,,,,,,,,,,,,,,,,,,,,,,0.00807,,,,,,,,,,,0.00446,0.01631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes,,,,,,,,,,0.00806,,,,0.00387,0.00115,,,,,,,,,0.00106,,,,,,,,0.00202,0.00172,0.00119,,,,,,,,,,,,,,,,,,,,0.00206,0.00454,,,,,,,,,,,,,,,,,,,,,,,0.00478,,,,,,,,,,,,,,,,0.01562,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera|s__Kluyvera_cryocrescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_T11011_6,,,,,,,,,,,,,,,,,0.00039,,,,,,,0.00801,,,,,,,,,,,,,,,,,,,,,,,,0.00168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri,,,,,,,,,,,,,,,,,,,,,,0.57005,,,,,,,,,,,0.00245,0.00371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,,0.00956,0.05212,0.00776,0.0143,0.00484,,,0.00671,,0.02126,,0.06513,0.08777,,,0.00105,0.09081,0.00137,0.00174,0.13939,,0.01238,,,0.92106,,,,,0.00091,,0.03486,0.00611,,0.06503,0.01837,0.00343,,,,,,0.00221,0.00549,0.0338,,0.00313,0.06738,,0.03458,0.02416,,,,,,,,,,,,,,,0.05926,,,,,,,,0.00408,,,,,,,,,,,,,0.00108,,,,0.06748,,0.00697,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_seminalis,,,,,,,,,,,,,,,,,,,,,,0.02218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,0.00102,0.09023,0.01545,0.03173,0.02994,0.1422,,0.00734,0.03471,,,,,0.03378,,0.0078,,0.01519,0.00881,,,0.03146,0.0103,0.14935,,,0.11592,0.0179,,,0.03744,0.09937,,0.00149,,,0.10961,0.02891,0.00575,,0.12592,,0.03711,0.08701,,,,0.02415,0.08472,,0.01892,0.00996,0.01625,,,0.06754,,,,,0.03804,,,,,,,,,0.05494,0.0041,,,,,,,,0.00804,,,0.01287,,,,,,0.04584,,,0.01556,0.79469,,0.22633,0.02392,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis,,,0.05095,0.00302,,0.02394,,,,,0.03152,,,0.02129,,0.00539,0.04212,0.00866,0.00351,0.0048,,0.00813,0.00313,0.0377,,,,,,,,,,0.00144,,,,0.00215,,,,,,0.00256,,0.01505,,0.00141,0.0039,0.00095,,,,,,,,,,,,,,,,,,,,,,,,,0.00162,,,,,,,,,,,,,,,,,,,0.00705,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05,0.00723,0.13442,0.01045,,,0.02157,,,0.00419,0.00342,0.0055,,,0.00814,,,,0.00416,,,,0.00303,,0.04315,,,0.03207,,,,0.00556,0.01863,,0.00795,,,0.02331,,,,0.00686,,0.07592,,,,,0.00349,,,,,,,,0.01797,,,,,0.00831,,,,,,,,,0.02026,0.00844,,,0.00211,0.01465,,,,,,,,,,,,,0.01067,,,,,,0.07689,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum,,,0.03001,0.00662,,,,,0.01891,,,,,,0.01754,0.00713,0.01694,,,,,0.59219,,,,0.02636,,,,,,,,,,,0.00023,0.80025,0.00112,,,,,,,,,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_peroris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis,,,0.06132,,0.01356,0.00079,,,,,0.02236,,,0.00917,,0.00479,0.21625,0.00036,,0.00076,,0.00669,,,,,,,,,,,,0.01842,,,,0.0027,,,,,,,,0.02969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02221,,,
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_periodonticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii,,,,0.0384,,0.79261,,,,,,,,,,,,,,,,0.09986,,0.01095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00718,,,,,,,,,,,,,,0.71455,,,,,,,,,,0.02884,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_youngae,,,,,,0.2011,,,,,,,,,,,,,,,,0.02802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01216,,,,0.3606,,0.05382,,,,,,,,0.00526,,,0.00355,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans,,,0.00595,,,,,,,,,,,,,,0.00325,,0.02099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00425,,,
