species,MMPD23212378ST,SID01.BA.VG.2,SID01.BA.V_metag,SID02.BA.V_metag,SID02.BA.VG_metag,SID03.BA.O_metag,SID04.BA.VG.2,SID04.TO.VG,SID05.PR.VG.1,SID06.BA.VG_metag,SID07.BA.VG.2,SID08.BA.V_metag,SID08.BA.VG_metag,SID08.TO.VG,SID11.TO.V.2,SID12.TO.O.new,SID13.PR.VG.0,SID14.PR.VG.0,SID18.PR.V_metag,SID19.BA.V.2,SID20.TO.O.0,SID23.BA.V.2,SID26.PR.V_metag,SID30.BO.O.2,SID33.PR.V_metag,SID38.BA.O.2,SID39.TO.VG,SID42.TO.VG.2,SIDVOV03_metag,SIDVOV08_metag,SIDVOV114_metag,SIDVOV48_metag,SIDVOV49_metag,SIDVOV96_metag
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola,0,0,0,0,0,0,0.0137,0,0,0,0,0,0,0.07744,0,0,0,0,0.78243,0,0.00533,0,0,0,0,0,0,0,0,0,0,0.01079,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens,0,0,0,0,0,0,0.0229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,0.05326,0.00808,0.13815,0.32162,0.11076,0.0907,0.01672,0.01156,0,0.34288,0.13218,0.02678,0.08937,0.15826,0.19241,0.05739,0.00991,0,0.0497,0.00617,0.00416,0.00934,0,0,0.01041,0.82061,0.13151,0,0,0.00266,0,0.02291,0,0.16451
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium,0.02045,0,0.01933,0,0.00093,0,0,0.00191,0,0,0,0,0.01321,0,0.0182,0,0.00579,0,0.00038,0.00639,0,0.00859,0,0,0.00648,0.01086,0,0,0,0,0,0,0,0.01366
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis,0,0,0,0.11036,0.01496,0.01199,0,0,0,0.00387,0,0.0048,4.77287,0,0,0,0.00549,0,0,0,0,0,0,0,0.00363,0,0.01819,0,0,0,0,0,0,0.0519
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae_complex,0,0,0.0112,0,0,0.14826,0.00947,0,0,0,0,0,0,0.22315,0.04233,0,0,0,0,0,0,0.00143,0.02762,0.00823,0,0.0185,0,0,0,0,0,0.00643,0.6887,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum,0,0.00309,0.00331,0.00175,0.01147,0.03022,0.00483,0.01672,0.00638,0,0.00501,0.03074,0,0.0405,0,0.01658,0.01241,0.0018,0.012,0.01097,0.06333,0,0,0.03104,0.01923,0.27688,0.00191,0.00512,0.00979,0.00434,0.02194,0.00327,0.01773,0.0036
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella_ornithinolytica,0,0,0,0,0,0,0.00372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,0.00568,0.00096,0,0.05102,0,0.00683,0.00191,0,0.01508,0.003,0.008,0.0025,0.06469,0.00214,0.00608,0,0,0,0,0,0.01252,0,0.00126,0.02199,0.00101,0.13494,0,0,0,0,0,0.00731,0,0.0637
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,0,0.00037,0.00402,0.04885,0,0,0.00711,0,0,0.07534,0.05205,0,0,0.1127,0.01215,0,0,0,0.00014,0,0,0.00359,0,0,0.00029,0,0.30656,0,0.00219,0.00504,0,0.00722,0,0.28816
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_paragasseri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01631,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes,0,0,0,0,0,0,0,0,0.00806,0,0.00387,0,0,0,0.00106,0,0,0,0,0.00202,0.00119,0,0,0,0,0,0,0,0,0.00206,0,0,0,0.01562
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera|s__Kluyvera_cryocrescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_T11011_6,0.00146,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0.00801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00371,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,0,0,0.00956,0.05212,0.00776,0.0143,0.00484,0.00671,0,0.02126,0.08777,0,0.00105,0.09081,0,0.92106,0,0,0.00091,0,0.00611,0.01837,0,0,0.00221,0.0338,0.06738,0,0,0,0,0.00408,0,0.00697
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_seminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,0.01238,0.00102,0.09023,0.01545,0.03173,0.02994,0.1422,0.03471,0,0,0.03378,0.0078,0,0.01519,0.14935,0,0.11592,0.0179,0.03744,0.09937,0.00149,0.10961,0.00575,0.12592,0.08701,0,0.08472,0,0.01625,0,0,0,0,0.22633
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis,0,0,0,0.05095,0.00302,0,0.02394,0,0,0.03152,0.02129,0.00539,0.04212,0.00866,0.0377,0,0,0,0,0,0.00144,0,0,0,0.00256,0.01505,0.0039,0.00095,0,0,0,0.00162,0,0.00705
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05,0,0.00723,0.13442,0.01045,0,0,0.02157,0.00419,0.00342,0.0055,0.00814,0,0,0.00416,0.04315,0,0.03207,0,0.00556,0.01863,0.00795,0.02331,0,0.00686,0,0,0,0,0,0,0,0.01465,0,0.07689
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum,0,0,0,0.03001,0.00662,0,0,0.01891,0,0,0,0.00713,0.01694,0,0,0.02636,0,0,0,0,0,0.00023,0.00112,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_peroris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis,0,0,0,0.06132,0,0.01356,0.00079,0,0,0.02236,0.00917,0.00479,0.21625,0.00036,0,0,0,0,0,0,0.01842,0,0,0,0,0.02969,0,0,0,0,0,0,0,0.02221
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_periodonticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii,0,0,0,0,0.0384,0,0.79261,0,0,0,0,0,0,0,0.01095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02884,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_youngae,0,0,0,0,0,0,0.2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00526,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans,0,0,0,0.00595,0,0,0,0,0,0,0,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_A12,0,0,0,0.00189,0,0.02861,0.00187,0.00244,0,0,0.00276,0.01107,0,0,0.00651,0,0,0,0,0,0,0.00221,0,0,0,0.00443,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_werkmanii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01669,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis,0,0.00256,0,0.01927,0,0,0.01548,0,0,0.00874,0.03489,0,0.0621,0,0,0.00748,0,0,0,0,0,0.00362,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia,0.03806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_segnis,0,0,0,0.00246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00371,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,0,0,0,0.01183,0.0077,0.00245,0.0155,0.00043,0,0,0.05595,0,0.05263,0.01279,0.00059,0,0,0,0.00052,0,0,0,0,0,0.0033,0.04023,0.0105,0,0,0,0,0,0,0.00777
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum,0,0,0,0.00281,0,0,0,0,0,0,0,0,0.00128,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,2.07133,2.12022,0.94533,1.50885,3.29326,1.79145,3.55089,0.16604,3.91704,0.44634,2.33945,4.80724,0.05023,2.45155,0.55364,0.18903,1.51237,2.52891,1.82669,1.4213,10.74733,3.69721,4.92843,9.89028,5.18493,0.5875,2.46926,3.45209,1.19168,3.55157,0.67551,14.46252,2.41944,0.83178
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_butyricum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0,0,0,1.27545,0.00046,0.0289,0,0,0,1.56283,0,0,0.05138,0,0.15577,2.37353,0.35616,0.2568,0,0.33621,1.7086,0,0.93572,0,0,0.07414,4.00582,0,0,0,0,0.19181,0.16528,0.02917
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_acidilactici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus,0,0,0,0,0,0,0,0,0,0,0,0,0.10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca,0,0,0,0,0.03456,0,0,0,0,0,0,0,0,0,0.04555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02112,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta,0,0,0.00128,2.49421,0.13269,0.06625,0.02569,0.00984,0,0.41808,0.26805,0,0.04626,0,0,1.76911,0.03829,0,0.00876,0.04032,0,0.70679,0.00223,0,0,0,0.01917,0.05944,0,0.00486,0,0.01515,0.00396,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus,0,0,0,0,0,0,0.04775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_neonatale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,0,0,0.17338,0.70407,0.16622,0.36043,0.03015,0.07327,0.0075,1.26367,0.29157,0,0.06902,0.0005,0,0.50251,0.10904,0,0,0.10454,0.00613,0.3463,0,0,0,0.12622,0.03263,0.00215,0,0.00335,0.01025,0.08451,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya_fangzhongdai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii,0,0.0112,0.32333,0.04916,0.08332,0.03485,0.32942,0.00158,0.04198,0.02506,0.31447,0.01575,0,0,0.04556,0,0.08791,0.10115,0.08712,0.09047,0.17295,0.07787,0.04109,0.2785,0.05893,0.64703,0,0.02305,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_spiroforme,0,0,0,0,0,0,0,0,0.07452,0,0,0,0,0,0,0,0,0,0,0,0.04038,0,0,0.04369,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum,0,0,0,0,0,0.01109,0.35153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya_chrysanthemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia|s__Finegoldia_magna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_dispar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_michiganensis,0,0,0,0,0,0,0.02553,0,0,0,0,0,0,0,0.02319,0,0,0.01992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07173,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Cellulosilyticum|s__Cellulosilyticum_lentocellum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccae,0,0,4.19945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris,0,0,0.00165,0.00076,0,0,0.00069,0,0,0.00423,0,0,0,0,0,0.01474,0,0,0.00133,0,0,0,0,0,0,0,0.00026,0,0,0.00095,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
